,15˚C,20˚C,25˚C,no FUdR at 20˚C,with FUdR at 20˚C,no manipulation at 15˚C,with any manipulation at 15˚C,no manipulation at 20˚C,with manipulation at 20˚C,no manipulation at 25˚C,with manipulation at 25˚C,Everyday manipulation at 20˚C,Every 2-3 day manipulation at 20˚C,no manipulation no FUdR at 20˚C,no manipulation with FUdR at 20˚C,with manipulation no FUdR at 20˚C,with manipulation with FUdR at 20˚C,USA,China,Germany,Rep. of Korea,Japan,CA,MA,NY,WA,TX,MI
32,,15.61,15.9,15.61,21.7,,,17.9,19.0,,,18.49,,17.9,21.1,17.9,21.1,13.2,17.64,21.0,,,21.5,,,,,
33,,17.0,17.3,17.0,18.64,,,15.7,15.2,,,28.9,,15.7,16.37,15.7,16.37,12.4,19.96,18.78,,,20.56,,,,,
34,,15.3,13.66,15.3,18.8,,,15.71,17.18,,,26.9,,15.71,18.495,15.71,18.495,15.9,17.3,18.8,,,19.33,,,,,
35,,16.5,,16.5,18.1,,,19.6,18.0,,,17.2,,19.6,19.33,19.6,19.33,15.9,17.3,15.1,,,17.76,,,,,
36,,20.7,,20.7,20.6,,,21.5,17.69,,,15.47,,21.5,14.63,21.5,14.63,15.9,16.98,17.6,,,19.6,,,,,
37,,17.05,,17.05,19.2,,,18.7,16.88,,,19.478,,18.7,18.9,18.7,18.9,15.9,19.018,18.1,,,11.4,,,,,
38,,15.92,,15.92,19.0,,,16.0,17.3,,,17.54,,16.0,18.0,16.0,18.0,26.1,16.34,18.5,,,16.4,,,,,
39,,21.44,,21.44,15.12,,,10.87,19.018,,,13.64,,10.87,17.76,10.87,17.76,18.7,20.0,,,,19.2,,,,,
40,,22.6,,22.6,18.2,,,19.5,17.78,,,21.32,,19.5,21.0,19.5,21.0,18.3,18.9,,,,19.2,,,,,
41,,20.85,,20.85,17.0,,,19.9,20.0,,,22.0,,19.9,17.8,19.9,17.8,17.9,11.73,,,,31.6,,,,,
42,,22.91,,22.91,17.78,,,16.71,18.48,,,18.5,,16.71,20.84,16.71,20.84,18.3,18.3,,,,19.6,,,,,
43,,24.1,,24.1,20.0,,,24.2,20.14,,,17.0,,24.2,17.6,24.2,17.6,19.6,20.6,,,,13.78,,,,,
44,,17.7,,17.7,18.656,,,18.02,12.3,,,,,18.02,19.3,18.02,19.3,21.5,19.76,,,,21.0,,,,,
45,,19.0,,19.0,13.8,,,12.7,20.91,,,,,12.7,15.506,12.7,15.506,16.96,18.2,,,,13.2,,,,,
46,,18.4,,18.4,18.9,,,14.8,11.58,,,,,14.8,14.3,14.8,14.3,11.02,18.48,,,,17.2,,,,,
47,,19.6,,19.6,17.2,,,20.9,19.7,,,,,20.9,14.943,20.9,14.943,18.18,19.446,,,,,,,,,
48,,21.699,,21.699,18.1,,,18.06,23.2,,,,,18.06,31.5,18.06,31.5,18.736,19.072,,,,,,,,,
49,,22.0,,22.0,20.0,,,12.0,14.3,,,,,12.0,14.95,12.0,14.95,10.87,20.41,,,,,,,,,
50,,11.76,,11.76,20.0,,,21.0,17.04,,,,,21.0,7.0,21.0,7.0,22.1,26.0,,,,,,,,,
51,,19.7,,19.7,15.4,,,17.5,12.18,,,,,14.28,17.57,14.28,17.57,16.0,22.0,,,,,,,,,
52,,17.5,,17.5,15.1,,,14.31,11.0,,,,,19.6,15.1,19.6,15.1,12.0,19.478,,,,,,,,,
53,,22.3,,22.3,19.01,,,20.7,15.3,,,,,24.71,26.9,24.71,26.9,10.0,15.506,,,,,,,,,
54,,22.53,,22.53,18.9,,,20.03,20.56,,,,,21.0,27.5,21.0,27.5,11.85,19.0,,,,,,,,,
55,,18.4,,18.4,11.73,,,19.96,19.6,,,,,19.0,13.2,19.0,13.2,10.58,21.667,,,,,,,,,
56,,18.98,,18.98,18.3,,,15.59,21.0,,,,,21.3,16.3,21.3,16.3,9.05,23.892,,,,,,,,,
57,,22.0,,22.0,20.6,,,14.09,25.83,,,,,14.5,16.0,14.5,16.0,7.56,17.54,,,,,,,,,
58,,22.9,,22.9,19.76,,,21.9,11.66,,,,,17.74,29.8,17.74,29.8,18.59,13.64,,,,,,,,,
59,,17.23,,17.23,18.2,,,16.98,15.57,,,,,22.8,17.2,22.8,17.2,28.65,17.04,,,,,,,,,
60,,19.7,,19.7,18.3,,,19.0,16.5,,,,,15.257,15.6,15.257,15.6,19.5,13.66,,,,,,,,,
61,,14.5,,14.5,17.3,,,18.3,18.4,,,,,17.0,12.8,17.0,12.8,19.9,25.83,,,,,,,,,
62,,22.5,,22.5,21.5,,,7.3,16.8,,,,,13.69,20.1,13.69,20.1,16.4,,,,,,,,,,
63,,18.46,,18.46,18.48,,,13.5,16.0,,,,,,18.4,,18.4,16.2,,,,,,,,,,
64,,18.7,,18.7,20.14,,,21.1,12.0,,,,,,18.8,,18.8,15.8,,,,,,,,,,
65,,22.0,,22.0,13.8,,,18.78,10.0,,,,,,28.3,,28.3,14.33,,,,,,,,,,
66,,18.6,,18.6,16.3,,,21.7,11.85,,,,,,24.9,,24.9,15.0,,,,,,,,,,
67,,15.0,,15.0,19.446,,,18.8,10.58,,,,,,20.0,,20.0,24.2,,,,,,,,,,
68,,21.48,,21.48,20.41,,,18.1,9.05,,,,,,14.73,,14.73,20.7,,,,,,,,,,
69,,20.47,,20.47,20.56,,,20.6,7.56,,,,,,19.5,,19.5,18.07,,,,,,,,,,
70,,18.98,,18.98,21.1,,,15.12,14.25,,,,,,14.5,,14.5,13.6,,,,,,,,,,
71,,15.91,,15.91,12.3,,,18.2,23.0,,,,,,20.2,,20.2,12.7,,,,,,,,,,
72,,20.0,,20.0,16.37,,,17.0,21.3,,,,,,20.9,,20.9,18.02,,,,,,,,,,
73,,16.2,,16.2,18.495,,,20.0,14.33,,,,,,,,,13.4,,,,,,,,,,
74,,18.0,,18.0,20.91,,,13.8,17.0,,,,,,,,,14.4,,,,,,,,,,
75,,14.6,,14.6,11.58,,,18.1,15.3,,,,,,,,,15.1,,,,,,,,,,
76,,11.8,,11.8,16.56,,,20.0,13.4,,,,,,,,,12.7,,,,,,,,,,
77,,15.2,,15.2,19.33,,,15.4,20.8,,,,,,,,,14.8,,,,,,,,,,
78,,18.0,,18.0,14.63,,,15.1,11.1,,,,,,,,,17.0,,,,,,,,,,
79,,20.44,,20.44,19.072,,,18.3,9.13,,,,,,,,,15.2,,,,,,,,,,
80,,15.82,,15.82,18.9,,,20.6,9.13,,,,,,,,,19.5,,,,,,,,,,
81,,15.08,,15.08,18.0,,,19.76,9.33,,,,,,,,,17.0,,,,,,,,,,
82,,18.7,,18.7,17.76,,,20.41,10.78,,,,,,,,,16.6,,,,,,,,,,
83,,15.0,,15.0,20.41,,,21.1,8.36,,,,,,,,,16.9,,,,,,,,,,
84,,17.0,,17.0,34.8,,,16.37,7.64,,,,,,,,,16.6,,,,,,,,,,
85,,18.0,,18.0,21.0,,,18.495,19.5,,,,,,,,,12.0,,,,,,,,,,
86,,25.0,,25.0,26.0,,,19.33,17.0,,,,,,,,,14.8,,,,,,,,,,
87,,21.2,,21.2,12.79,,,14.63,16.9,,,,,,,,,17.5,,,,,,,,,,
88,,15.9,,15.9,17.8,,,18.9,14.9,,,,,,,,,20.7,,,,,,,,,,
89,,16.2,,16.2,19.6,,,18.0,17.39,,,,,,,,,17.23,,,,,,,,,,
90,,18.8,,18.8,11.4,,,17.76,18.49,,,,,,,,,24.9,,,,,,,,,,
91,,19.79,,19.79,22.0,,,21.0,28.9,,,,,,,,,15.59,,,,,,,,,,
92,,13.31,,13.31,20.7,,,17.8,26.9,,,,,,,,,13.5,,,,,,,,,,
93,,14.28,,14.28,20.84,,,20.84,17.2,,,,,,,,,17.0,,,,,,,,,,
94,,16.7,,16.7,16.4,,,17.6,15.47,,,,,,,,,21.1,,,,,,,,,,
95,,16.7,,16.7,19.2,,,19.3,19.478,,,,,,,,,21.7,,,,,,,,,,
96,,17.8,,17.8,19.2,,,15.506,17.54,,,,,,,,,18.1,,,,,,,,,,
97,,17.1,,17.1,18.18,,,14.3,13.64,,,,,,,,,19.2,,,,,,,,,,
98,,17.4,,17.4,17.6,,,14.943,21.32,,,,,,,,,19.0,,,,,,,,,,
99,,17.4,,17.4,19.3,,,31.5,22.0,,,,,,,,,18.2,,,,,,,,,,
100,,14.1,,14.1,15.47,,,14.95,18.5,,,,,,,,,17.78,,,,,,,,,,
101,,15.78,,15.78,20.1,,,7.0,17.0,,,,,,,,,18.9,,,,,,,,,,
102,,14.24,,14.24,19.478,,,17.57,25.0,,,,,,,,,17.2,,,,,,,,,,
103,,15.87,,15.87,19.7,,,15.1,17.8,,,,,,,,,18.1,,,,,,,,,,
104,,13.2,,13.2,14.3,,,26.9,17.1,,,,,,,,,17.3,,,,,,,,,,
105,,13.66,,13.66,15.1,,,27.5,17.4,,,,,,,,,21.5,,,,,,,,,,
106,,12.4,,12.4,15.506,,,13.2,17.4,,,,,,,,,13.8,,,,,,,,,,
107,,17.2,,17.2,15.96,,,16.3,14.1,,,,,,,,,20.56,,,,,,,,,,
108,,15.9,,15.9,16.2,,,16.0,15.78,,,,,,,,,21.1,,,,,,,,,,
109,,15.9,,15.9,14.3,,,29.8,14.24,,,,,,,,,12.3,,,,,,,,,,
110,,15.9,,15.9,14.943,,,17.2,15.0,,,,,,,,,20.91,,,,,,,,,,
111,,15.9,,15.9,17.6,,,14.28,12.7,,,,,,,,,11.58,,,,,,,,,,
112,,26.1,,26.1,31.5,,,19.6,22.7,,,,,,,,,19.33,,,,,,,,,,
113,,18.7,,18.7,19.0,,,24.71,23.2,,,,,,,,,18.0,,,,,,,,,,
114,,18.3,,18.3,14.0,,,21.0,16.6,,,,,,,,,17.76,,,,,,,,,,
115,,17.9,,17.9,16.8,,,19.0,19.446,,,,,,,,,17.8,,,,,,,,,,
116,,15.7,,15.7,21.667,,,21.3,34.8,,,,,,,,,19.6,,,,,,,,,,
117,,20.13,,20.13,23.892,,,14.5,26.0,,,,,,,,,11.4,,,,,,,,,,
118,,15.71,,15.71,19.0,,,17.74,17.6,,,,,,,,,16.4,,,,,,,,,,
119,,18.3,,18.3,23.2,,,22.8,16.8,,,,,,,,,19.2,,,,,,,,,,
120,,19.6,,19.6,29.4,,,15.257,19.0,,,,,,,,,19.2,,,,,,,,,,
121,,21.5,,21.5,13.0,,,17.0,13.0,,,,,,,,,17.6,,,,,,,,,,
122,,18.7,,18.7,15.9,,,13.69,18.1,,,,,,,,,19.3,,,,,,,,,,
123,,16.8,,16.8,22.01,,,15.6,31.6,,,,,,,,,20.1,,,,,,,,,,
124,,11.1,,11.1,18.4,,,12.8,13.66,,,,,,,,,14.3,,,,,,,,,,
125,,11.7,,11.7,18.1,,,20.1,14.3,,,,,,,,,15.1,,,,,,,,,,
126,,19.0,,19.0,17.83,,,18.4,18.4,,,,,,,,,14.0,,,,,,,,,,
127,,16.96,,16.96,20.8,,,18.8,18.98,,,,,,,,,16.8,,,,,,,,,,
128,,11.02,,11.02,12.65,,,28.3,16.7,,,,,,,,,19.0,,,,,,,,,,
129,,18.18,,18.18,14.95,,,24.9,16.7,,,,,,,,,23.2,,,,,,,,,,
130,,16.0,,16.0,17.54,,,20.0,15.6,,,,,,,,,29.4,,,,,,,,,,
131,,18.736,,18.736,13.64,,,14.73,14.8,,,,,,,,,13.0,,,,,,,,,,
132,,10.87,,10.87,14.3,,,19.5,13.89,,,,,,,,,15.9,,,,,,,,,,
133,,22.1,,22.1,7.0,,,14.5,13.7,,,,,,,,,18.4,,,,,,,,,,
134,,16.0,,16.0,17.04,,,20.2,16.56,,,,,,,,,14.95,,,,,,,,,,
135,,12.0,,12.0,18.0,,,20.9,29.4,,,,,,,,,21.32,,,,,,,,,,
136,,10.0,,10.0,15.0,,,,15.9,,,,,,,,,17.57,,,,,,,,,,
137,,11.85,,11.85,21.32,,,,18.4,,,,,,,,,31.6,,,,,,,,,,
138,,10.58,,10.58,17.57,,,,17.83,,,,,,,,,12.18,,,,,,,,,,
139,,9.05,,9.05,31.6,,,,12.65,,,,,,,,,11.0,,,,,,,,,,
140,,7.56,,7.56,13.66,,,,12.156,,,,,,,,,15.3,,,,,,,,,,
141,,18.59,,18.59,12.18,,,,18.46,,,,,,,,,19.6,,,,,,,,,,
142,,22.1,,22.1,11.0,,,,18.6,,,,,,,,,13.78,,,,,,,,,,
143,,28.65,,28.65,15.3,,,,17.0,,,,,,,,,26.9,,,,,,,,,,
144,,20.0,,20.0,14.4,,,,24.9,,,,,,,,,27.5,,,,,,,,,,
145,,19.5,,19.5,22.0,,,,20.7,,,,,,,,,21.0,,,,,,,,,,
146,,19.9,,19.9,20.56,,,,17.6,,,,,,,,,13.2,,,,,,,,,,
147,,16.4,,16.4,19.6,,,,20.0,,,,,,,,,17.4,,,,,,,,,,
148,,16.2,,16.2,15.1,,,,22.0,,,,,,,,,16.0,,,,,,,,,,
149,,15.8,,15.8,13.78,,,,21.0,,,,,,,,,17.2,,,,,,,,,,
150,,15.0,,15.0,26.9,,,,22.53,,,,,,,,,,,,,,,,,,,
151,,24.0,,24.0,27.5,,,,15.87,,,,,,,,,,,,,,,,,,,
