,20%,40%,60%,80%,100%,count
"(-)FUDR 
 7 (15°C)",28.57142857142857,57.14285714285714,0.0,14.285714285714285,0.0,7.0
"FUDR 
 9 (15°C)",50.806451612903224,22.58064516129032,14.516129032258066,8.333333333333332,3.763440860215054,372.0
"(-)FUDR 
 372 (20°C)",54.054054054054056,27.027027027027028,16.216216216216218,2.7027027027027026,0.0,37.0
"FUDR 
 276 (20°C)",33.33333333333333,11.11111111111111,22.22222222222222,22.22222222222222,11.11111111111111,9.0
"(-)FUDR 
 37 (25°C)",39.492753623188406,26.811594202898554,21.014492753623188,7.246376811594203,5.434782608695652,276.0
"FUDR  
 33 (25°C)",81.81818181818183,6.0606060606060606,6.0606060606060606,3.0303030303030303,3.0303030303030303,33.0
