,count,mean,25%,median,75%,std
Day3,1000.0,99.3,100.0,100.0,100.0,5.514164035010626
Day5,1000.0,97.65,100.0,100.0,100.0,8.479433754490692
Day10,1000.0,86.31,80.0,95.0,100.0,20.118652145811396
Day15,1000.0,58.86,35.0,65.0,85.0,29.562677939031943
Day20,1000.0,29.27,5.0,22.0,45.0,26.80398391197754
Day25,1000.0,10.52,0.0,3.0,14.25,17.58251246963147
Day30,1000.0,3.04,0.0,0.0,0.0,9.939111476230435
Day40,1000.0,0.4,0.0,0.0,0.0,3.341639950317425
Day50,1000.0,0.1,0.0,0.0,0.0,1.319741155195504
