,20%,40%,60%,80%,100%,count
"(-)FUDR 
 7 (15°C)",28.57142857142857,0.0,14.285714285714285,57.14285714285714,0.0,7.0
"FUDR 
 9 (15°C)",13.709677419354838,16.129032258064516,21.774193548387096,24.193548387096776,24.193548387096776,372.0
"(-)FUDR 
 372 (20°C)",13.513513513513514,24.324324324324326,24.324324324324326,24.324324324324326,13.513513513513514,37.0
"FUDR 
 276 (20°C)",0.0,11.11111111111111,22.22222222222222,11.11111111111111,55.55555555555556,9.0
"(-)FUDR 
 37 (25°C)",9.782608695652174,7.608695652173914,19.202898550724637,26.08695652173913,37.31884057971014,276.0
"FUDR  
 33 (25°C)",51.515151515151516,24.242424242424242,3.0303030303030303,9.090909090909092,12.121212121212121,33.0
