,count,mean,25%,median,75%,std
Day3,372.0,99.19,100.0,100.0,100.0,6.7269025030435365
Day5,372.0,97.45,100.0,100.0,100.0,9.381682664950368
Day10,372.0,85.49,80.0,95.0,100.0,20.475149345443103
Day15,372.0,57.7,35.0,60.0,80.0,28.329666577724932
Day20,372.0,28.79,10.0,20.0,45.0,25.07381142121669
Day25,372.0,9.39,0.0,3.0,10.5,14.690582175287375
Day30,372.0,1.95,0.0,0.0,0.0,7.076236575763113
Day40,372.0,0.3,0.0,0.0,0.0,3.9613629363344085
Day50,372.0,0.1,0.0,0.0,0.0,1.5108870766148765
