,count,mean,25%,median,75%,std
Day3,276.0,99.69,100.0,100.0,100.0,2.070417141779635
Day5,276.0,98.48,100.0,100.0,100.0,6.942598261402965
Day10,276.0,91.4,90.0,97.0,100.0,13.947975991361577
Day15,276.0,67.34,50.0,75.0,90.0,25.9539662917137
Day20,276.0,33.39,10.0,30.0,50.0,25.971139094698046
Day25,276.0,11.84,0.0,5.0,15.0,18.503297074712
Day30,276.0,3.42,0.0,0.0,0.0,10.563932348641115
Day40,276.0,0.24,0.0,0.0,0.0,1.4406255046098135
Day50,276.0,0.02,0.0,0.0,0.0,0.24796935507037926
