,count,mean,25%,median,75%,std
Day3,693.0,99.38,100.0,100.0,100.0,5.146645074757658
Day5,693.0,97.78,100.0,100.0,100.0,8.368459612291907
Day10,693.0,87.78,85.0,95.0,100.0,18.26117254288297
Day15,693.0,61.6,42.0,65.0,85.0,27.676440624290457
Day20,693.0,30.63,10.0,25.0,50.0,25.39669756080773
Day25,693.0,10.35,0.0,5.0,15.0,16.298493319470257
Day30,693.0,2.59,0.0,0.0,0.0,8.683595374794512
Day40,693.0,0.28,0.0,0.0,0.0,3.091497569479412
Day50,693.0,0.06,0.0,0.0,0.0,1.1188944083385894
