,20%,40%,60%,80%,100%,count
0,9.30232558139535,12.790697674418606,20.930232558139537,29.069767441860467,27.906976744186046,86.0
1,3.4482758620689653,13.793103448275861,17.24137931034483,31.03448275862069,34.48275862068966,29.0
2,26.923076923076923,7.6923076923076925,26.923076923076923,23.076923076923077,15.384615384615385,26.0
3,5.555555555555555,5.555555555555555,11.11111111111111,33.33333333333333,44.44444444444444,18.0
4,5.88235294117647,5.88235294117647,29.411764705882355,29.411764705882355,29.411764705882355,17.0
5,5.88235294117647,11.76470588235294,29.411764705882355,11.76470588235294,41.17647058823529,17.0
6,11.76470588235294,17.647058823529413,5.88235294117647,41.17647058823529,23.52941176470588,17.0
7,27.27272727272727,18.181818181818183,9.090909090909092,18.181818181818183,27.27272727272727,11.0
8,0.0,0.0,50.0,40.0,10.0,10.0
9,0.0,22.22222222222222,55.55555555555556,11.11111111111111,11.11111111111111,9.0
