,20%,40%,60%,80%,100%,count
"(-)FUDR 
 7 (15°C)",85.71428571428571,14.285714285714285,0.0,0.0,0.0,7.0
"FUDR 
 9 (15°C)",86.82795698924731,8.60215053763441,2.6881720430107525,1.6129032258064515,0.2688172043010753,372.0
"(-)FUDR 
 372 (20°C)",89.1891891891892,8.108108108108109,2.7027027027027026,0.0,0.0,37.0
"FUDR 
 276 (20°C)",55.55555555555556,11.11111111111111,22.22222222222222,11.11111111111111,0.0,9.0
"(-)FUDR 
 37 (25°C)",81.88405797101449,10.507246376811594,3.6231884057971016,2.536231884057971,1.4492753623188406,276.0
"FUDR  
 33 (25°C)",90.9090909090909,3.0303030303030303,6.0606060606060606,0.0,0.0,33.0
