,count,mean,25%,median,75%,std
Day3,89.0,99.44,100.0,100.0,100.0,2.3058968684054784
Day5,89.0,97.58,100.0,100.0,100.0,6.731555589440548
Day10,89.0,82.57,83.0,95.0,100.0,24.282376531349122
Day15,89.0,56.01,30.0,62.0,80.0,29.333697029348375
Day20,89.0,24.44,5.0,15.0,40.0,25.199186069187643
Day25,89.0,8.08,0.0,0.0,10.0,15.947516705446024
Day30,89.0,1.39,0.0,0.0,0.0,4.499035193360121
Day40,89.0,0.0,0.0,0.0,0.0,0.0
Day50,89.0,0.0,0.0,0.0,0.0,0.0
