,20%,40%,60%,80%,100%,count
0,84.88372093023256,8.13953488372093,3.488372093023256,2.3255813953488373,1.1627906976744187,86.0
1,82.75862068965517,10.344827586206897,3.4482758620689653,3.4482758620689653,0.0,29.0
2,96.15384615384616,0.0,3.8461538461538463,0.0,0.0,26.0
3,55.55555555555556,33.33333333333333,11.11111111111111,0.0,0.0,18.0
4,82.35294117647058,11.76470588235294,0.0,5.88235294117647,0.0,17.0
5,94.11764705882352,5.88235294117647,0.0,0.0,0.0,17.0
6,76.47058823529412,11.76470588235294,5.88235294117647,0.0,5.88235294117647,17.0
7,72.72727272727273,0.0,9.090909090909092,18.181818181818183,0.0,11.0
8,90.0,0.0,10.0,0.0,0.0,10.0
9,100.0,0.0,0.0,0.0,0.0,9.0
