,count,mean,25%,median,75%,std
Day3,25.0,100.0,100.0,100.0,100.0,0.0
Day5,25.0,98.08,100.0,100.0,100.0,5.74398235837588
Day10,25.0,87.24,75.0,95.0,100.0,16.356140539055456
Day15,25.0,57.76,30.0,60.0,85.0,29.794126938039316
Day20,25.0,29.2,5.0,18.0,45.0,30.679797913284883
Day25,25.0,12.92,0.0,3.0,15.0,20.952167747833002
Day30,25.0,6.0,0.0,0.0,0.0,15.275252316519467
Day40,25.0,1.6,0.0,0.0,0.0,7.9999999999999964
Day50,25.0,0.6,0.0,0.0,0.0,3.000000000000002
