,United States,China,Germany,Republic of Korea,Japan,Canada,India,United Kingdom,France,Israel,Spain,Brazil,Singapore,Thailand,Greece,Sweden,Denmark,Italy,The Netherlands,Austria,Turkey,Taiwan,Switzerland,Mexico,Australia,Hungary,Netherlands,Isreal,Malaysia,Chile,Russian Federation,Saudi Arabia,Belgium,South Korea,Argentina
58,15.9,17.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,15.9,20.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,15.9,25.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,26.1,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,20.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,19.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,16.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,11.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,18.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,18.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,10.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,10.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,18.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,28.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,14.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,18.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,14.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
